fdc_id,data_type,description,food_category_id,publication_date,id,food_nutrient_conversion_factor_id,protein_value,fat_value,carbohydrate_value
321358,foundation_food,"Hummus, commercial",16.0,2019-04-01,22503.0,22503.0,3.47,8.37,4.07
321359,foundation_food,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",1.0,2019-04-01,22505.0,22505.0,4.27,8.79,3.87
321360,foundation_food,"Tomatoes, grape, raw",11.0,2019-04-01,22507.0,22507.0,2.44,8.37,3.57
321611,foundation_food,"Beans, snap, green, canned, regular pack, drained solids",11.0,2019-04-01,22510.0,22510.0,2.44,8.37,3.57
321900,foundation_food,"Broccoli, raw",11.0,2019-04-01,22512.0,22512.0,2.44,8.37,3.57
322228,foundation_food,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",1.0,2019-04-01,22514.0,22514.0,4.27,8.79,3.87
322559,foundation_food,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",1.0,2019-04-01,22516.0,22516.0,4.27,8.79,3.87
322892,foundation_food,"Milk, whole, 3.25% milkfat, with added vitamin D",1.0,2019-04-01,22518.0,22518.0,4.27,8.79,3.87
323121,foundation_food,"Frankfurter, beef, unheated",7.0,2019-04-01,22520.0,22520.0,4.27,9.02,3.87
323294,foundation_food,"Nuts, almonds, dry roasted, with salt added",12.0,2019-04-01,22522.0,22522.0,3.47,8.37,4.07
323444,foundation_food,"Cheese, ricotta, whole milk",1.0,2019-04-01,22524.0,22524.0,4.27,8.79,3.87
323505,foundation_food,"Kale, raw",11.0,2019-04-01,22526.0,22526.0,2.44,8.37,3.57
323604,foundation_food,"Egg, whole, raw, frozen, pasteurized",1.0,2019-04-01,22528.0,22528.0,4.36,9.02,3.68
323697,foundation_food,"Egg, white, raw, frozen, pasteurized",1.0,2019-04-01,22530.0,22530.0,4.36,9.02,3.68
323793,foundation_food,"Egg, white, dried",1.0,2019-04-01,22532.0,22532.0,4.36,9.02,3.68
324038,foundation_food,"Sauce, salsa, ready-to-serve",6.0,2019-04-01,22534.0,22534.0,2.44,8.87,3.57
